FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,Yunnan,Mainland China,2020-03-02T06:23:04,24.974,101.487,174,2,168,,
,,Hainan,Mainland China,2020-03-02T02:03:18,19.1959,109.7453,168,5,151,,
,,,Germany,2020-03-02T20:33:02,51,9,159,0,16,,
,,Guizhou,Mainland China,2020-03-02T01:13:06,26.8154,106.8748,146,2,114,,
,,Tianjin,Mainland China,2020-03-01T12:43:02,39.3054,117.323,136,3,111,,
,,Shanxi,Mainland China,2020-03-02T23:23:02,37.5777,112.2922,133,0,119,,
,,Liaoning,Mainland China,2020-03-01T12:23:06,41.2956,122.6085,122,1,103,,
,,,Spain,2020-03-02T14:43:05,40,-4,120,0,2,,
,,,Singapore,2020-03-02T20:33:02,1.2833,103.8333,108,0,78,,
,,Hong Kong,Hong Kong,2020-03-02T23:53:02,22.3,114.2,100,2,36,,
,,Jilin,Mainland China,2020-03-02T15:03:23,43.6661,126.1923,93,1,83,,
,,Gansu,Mainland China,2020-03-02T15:03:23,36.0611,103.8343,91,2,85,,
,,Xinjiang,Mainland China,2020-03-02T15:43:31,41.1129,85.2401,76,3,66,,
,,Inner Mongolia,Mainland China,2020-03-02T10:23:04,44.0935,113.9448,75,0,54,,
,,Ningxia,Mainland China,2020-03-02T01:33:02,37.2692,106.1655,74,0,69,,
,,,Kuwait,2020-03-02T20:33:02,29.5,47.75,56,0,0,,
,,,Bahrain,2020-03-02T20:33:02,26.0275,50.55,49,0,0,,
,,Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,35.4437,139.638,45,0,0,,
,,,Thailand,2020-03-02T06:23:04,15,101,43,1,31,,
,,,Switzerland,2020-03-02T22:33:09,46.8182,8.2275,42,0,0,,
,,Taiwan,Taiwan,2020-03-02T08:03:12,23.7,121,41,1,12,,
,,,UK,2020-03-02T20:33:02,55,-3,40,0,8,,
,,,Malaysia,2020-03-01T12:53:02,2.5,112.5,29,0,18,,
,,,Iraq,2020-03-02T20:53:02,33,44,26,0,0,,
,,,Norway,2020-03-02T20:53:02,60.472,8.4689,25,0,0,,
,,,United Arab Emirates,2020-02-29T12:33:03,24,54,21,0,5,,
,,,Austria,2020-03-02T21:23:04,47.5162,14.5501,18,0,0,,
,,Qinghai,Mainland China,2020-02-21T04:43:02,35.7452,95.9956,18,0,18,,
,,,Netherlands,2020-03-02T20:53:02,52.1326,5.2913,18,0,0,,
,,"Toronto, ON",Canada,2020-03-02T20:53:02,43.6532,-79.3832,17,0,2,,
,,,Vietnam,2020-02-25T08:53:02,16,108,16,0,16,,
,,,Sweden,2020-03-02T20:53:02,63,16,15,0,0,,
,,"King County, WA",US,2020-03-02T20:23:16,47.548,-121.9836,14,5,1,,
,,,Lebanon,2020-03-02T20:53:02,33.8547,35.8623,13,0,0,,
,,,Israel,2020-03-01T23:23:02,31,35,10,0,1,,
,,Macau,Macau,2020-02-27T12:43:02,22.1667,113.55,10,0,8,,
,,Queensland,Australia,2020-02-29T02:03:10,-28.0167,153.4,9,0,1,,
,,Victoria,Australia,2020-03-02T00:53:03,-37.8136,144.9631,9,0,4,,
,,"Santa Clara, CA",US,2020-03-02T20:33:02,37.3541,-121.9552,9,0,1,,
,,,Belgium,2020-03-02T20:53:02,50.8333,4,8,0,1,,
,,British Columbia,Canada,2020-02-29T23:23:13,49.2827,-123.1207,8,0,3,,
,,,San Marino,2020-03-02T01:03:12,43.9424,12.4578,8,0,0,,
,,,Croatia,2020-03-01T23:33:03,45.1,15.2,7,0,0,,
,,,Greece,2020-03-01T23:23:02,39.0742,21.8243,7,0,0,,
,,New South Wales,Australia,2020-03-01T23:33:03,-33.8688,151.2093,6,0,4,,
,,,Ecuador,2020-03-01T23:33:03,-1.8312,-78.1834,6,0,0,,
,,,Finland,2020-03-01T23:23:02,64,26,6,0,1,,
,,,Iceland,2020-03-02T22:33:09,64.9631,-19.0208,6,0,0,,
,,,Oman,2020-02-29T12:33:03,21,57,6,0,1,,
,,,India,2020-03-02T22:33:09,21,78,5,0,3,,
,,,Mexico,2020-03-01T23:33:03,23,-102,5,0,0,,
,,,Denmark,2020-03-01T23:33:03,56.2639,9.5018,4,0,0,,
,,,Pakistan,2020-02-29T18:03:05,30.3753,69.3451,4,0,0,,
,,"Cook County, IL",US,2020-03-02T20:33:02,41.7377,-87.6976,4,0,2,,
,,"Snohomish County, WA",US,2020-03-02T20:53:02,48.033,-121.8339,4,1,0,,
,,,Algeria,2020-03-02T00:53:03,28.0339,1.6596,3,0,0,,
,,South Australia,Australia,2020-02-29T02:03:10,-34.9285,138.6007,3,0,2,,
,,,Azerbaijan,2020-03-01T02:43:03,40.1431,47.5769,3,0,0,,
,,,Czech Republic,2020-03-02T16:33:02,49.8175,15.473,3,0,0,,
,,,Georgia,2020-03-01T15:43:03,42.3154,43.3569,3,0,0,,
,,,Philippines,2020-02-12T07:43:02,13,122,3,1,1,,
,,,Qatar,2020-03-01T23:33:03,25.3548,51.1839,3,0,0,,
,,,Romania,2020-02-28T15:33:03,45.9432,24.9668,3,0,0,,
,,,Russia,2020-03-02T21:23:04,60,90,3,0,2,,
,,Western Australia,Australia,2020-03-01T02:43:03,-31.9505,115.8605,2,1,0,,
,,,Brazil,2020-02-29T21:03:05,-14.235,-51.9253,2,0,0,,
,,,Egypt,2020-03-01T23:33:03,26,30,2,0,1,,
,,,Indonesia,2020-03-02T18:03:04,-0.7893,113.9213,2,0,0,,
,,,Portugal,2020-03-02T22:43:02,39.3999,-8.2245,2,0,0,,
,,"Portland, OR",US,2020-03-02T03:33:08,45.5051,-122.675,2,0,0,,
,,"Providence, RI",US,2020-03-02T03:43:02,41.824,-71.4128,2,0,0,,
,,"Sacramento County, CA",US,2020-02-27T20:33:02,38.4747,-121.3542,2,0,0,,
,,"San Benito, CA",US,2020-02-03T03:53:02,36.5761,-120.9876,2,0,0,,
,,"San Diego County, CA",US,2020-02-21T05:43:02,32.7157,-117.1611,2,0,1,,
,,,Afghanistan,2020-02-24T23:33:02,33,65,1,0,0,,
,,,Andorra,2020-03-02T20:23:16,42.5063,1.5218,1,0,0,,
,,,Armenia,2020-03-01T19:53:02,40.0691,45.0382,1,0,0,,
,,Tasmania,Australia,2020-03-02T20:53:02,-41.4545,145.9707,1,0,0,,
,,,Belarus,2020-02-28T16:23:03,53.7098,27.9534,1,0,0,,
,,,Cambodia,2020-02-12T07:43:02,11.55,104.9167,1,0,1,,
,," Montreal, QC",Canada,2020-02-28T05:23:07,45.5017,-73.5673,1,0,0,,
,,"London, ON",Canada,2020-02-12T18:53:03,42.9849,-81.2453,1,0,1,,
,,,Dominican Republic,2020-03-02T16:33:02,18.7357,-70.1627,1,0,0,,
,,,Estonia,2020-02-27T16:23:03,58.5953,25.0136,1,0,0,,
,,,Ireland,2020-03-01T07:13:07,53.1424,-7.6921,1,0,0,,
,,,Latvia,2020-03-02T20:13:49,56.8796,24.6032,1,0,0,,
,,,Lithuania,2020-02-28T16:23:03,55.1694,23.8813,1,0,0,,
,,,Luxembourg,2020-03-01T07:13:07,49.8153,6.1296,1,0,0,,
,,Tibet,Mainland China,2020-02-12T06:43:02,31.6927,88.0924,1,0,1,,
,,,Monaco,2020-02-29T00:33:01,43.7333,7.4167,1,0,0,,
,,,Morocco,2020-03-02T22:33:09,31.7917,-7.0926,1,0,0,,
,,,Nepal,2020-02-12T14:43:03,28.1667,84.25,1,0,1,,
,,,New Zealand,2020-02-28T16:23:03,-40.9006,174.886,1,0,0,,
,,,Nigeria,2020-02-28T16:23:03,9.082,8.6753,1,0,0,,
,,,North Macedonia,2020-02-27T16:23:03,41.6086,21.7453,1,0,0,,
,,,Saudi Arabia,2020-03-02T23:53:02,24,45,1,0,0,,
,,,Senegal,2020-03-02T20:23:16,14.4974,-14.4524,1,0,0,,
,,,Sri Lanka,2020-02-08T03:43:03,7,81,1,0,1,,
,,"Boston, MA",US,2020-02-28T21:13:12,42.3601,-71.0589,1,0,1,,
,,"Grafton County, NH",US,2020-03-02T20:33:02,43.9088,-71.826,1,0,0,,
,,"Hillsborough, FL",US,2020-03-02T03:13:25,27.9904,-82.3018,1,0,0,,
,,"Humboldt County, CA",US,2020-02-21T05:13:09,40.745,-123.8695,1,0,0,,
,,"Los Angeles, CA",US,2020-02-01T19:53:03,34.0522,-118.2437,1,0,0,,
,,"Madison, WI",US,2020-02-05T21:53:02,43.0731,-89.4012,1,0,0,,
,,"New York City, NY",US,2020-03-02T01:53:03,40.7128,-74.006,1,0,0,,
,,"Orange, CA",US,2020-02-01T19:53:03,33.7879,-117.8531,1,0,0,,
,,"Placer County, CA",US,2020-03-02T23:53:02,39.0916,-120.8039,1,0,0,,
,,"San Antonio, TX",US,2020-02-13T18:53:02,29.4241,-98.4936,1,0,0,,
,,"San Mateo, CA",US,2020-03-02T20:43:02,37.563,-122.3255,1,0,0,,
,,"Sarasota, FL",US,2020-03-02T03:23:06,27.3364,-82.5307,1,0,0,,
,,"Sonoma County, CA",US,2020-03-02T20:53:02,38.578,-122.9888,1,0,0,,
,,"Tempe, AZ",US,2020-02-25T21:23:03,33.4255,-111.94,1,0,1,,
,,"Umatilla, OR",US,2020-03-02T20:23:16,45.775,-118.7606,1,0,0,,
,,From Diamond Princess,Australia,2020-02-29T02:03:10,35.4437,139.638,0,0,0,,
,,"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,29.3829,-98.6134,0,0,0,,
,,"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,41.2545,-95.9758,0,0,0,,
,,"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,38.2721,-121.9399,0,0,0,,
